
Продукт	Білки	Жири	Вуглеводи	ккал
Молоко згущене	7,3	7,7	9,7	137,3
Кисле молоко 3,2%	2,9	3,2	4	56,4
Ряжанка 2,5%	2,9	2,5	4,1	50,5
Ряжанка 4,0%	2,9	4	4,1	64
Вершки 10%	2,8	10	4,1	117,6
Вершки 20%	2,8	20	3,9	206,8
Сметана 10%	3	10	2,9	113,6
Сметана 15%	3	15	2,9	158,6
Сметана 20%	3	20	2,9	203,6
Сметана 30%	3	30	2,9	293,6
Сирки з сирної маси	7,3	23	27,6	344
Сир голландський	26,4	26,5	0	344,1
Сир Моцарелла (мягкий)	18	19	1	247
Сир російський	24,1	29,8	0,4	366
Сир сулугуні	20	24,2	0	293
Сир жирний	14	18	1,9	236
Сирок плавлений польський	10	27	3	295
Сир "Молокія" 5%	16	5	1,8	116
Сир нежирний	22	0,2	3,3	73
Сир напівжирний	16,5	9	1,9	156
Яйця
Продукт	Білки	Жири	Вуглеводи	ккал
Омлет	9,7	15,5	1,7	181
Яйце куряче	12,7	11,1	0,6	153
Яйце перепелине	11,9	13,3	0,8	170
страусине Яйце	12,4	11,5	0,8	118
качине Яйце	13,5	14,1	0,2	176
Яєчний порошок	45,3	37,3	5,1	545
Ковбаса та ковбасні вироби
Продукт	Білки	Жири	Вуглеводи	ккал
Ковбаса варена Докторська	13,4	22,9	0	257
Ковбаса варена Аматорська	12,5	28,3	0	311
Ковбаса варена Молочна	11,1	22,5	0	243
Ковбаса напівкопчена Аматорська	17,6	39,1	0	428
Ковбаса напівкопчена Московська	19,1	36,1	0	402
Сосиски "Баварська"	12	25	0,5	275
Ковбаса сиров'ялена "Magusto"	27	42	3,1	361
Ковбаса сирокопчена Московська	24,3	41,6	0	476
Ковбаса сиров'ялена свиняча Ігора	19	35	0	391
Ковбаски мисливські	27,1	24,6	0	325
Кров’янка	10,6	17,8	14,5	261
Салямі	21,3	53,6	1,1	576
Сардельки Яловичі	11,1	18,2	1,6	215
Сардельки Свинячі	10,1	31,8	1,7	330
Сосиски Яловичі	10,3	20,3	0,9	229
Курячі Сосиски	10,6	22,1	3,3	242
Сосиски Аматорські	9,8	30,1	0,4	318
Сосиски Молочні	11,3	23,9	1,1	260
Свинячі Сосиски	9,2	23,2	4,5	284
М’ясні продукти і птах
Продукт	Білки	Жири	Вуглеводи	ккал
Баранина	16,2	15,3	0	201
Баранячі Нирки	13,4	2,6	0	78
Бараняча Печінка	18,9	2,8	0	102
Бараняче Серце	13,6	2,7	0	85
Яловичина	18,7	12,6	0	191
Яловичі Мізки	9,3	9,6	0	126
Яловича Печінка	17,6	3,2	0	100
Яловичі Нирки	12,4	1,9	0	67
Вим’я Яловиче	12,1	13,8	0	176
Яловиче Серце	15,2	3,1	0	89
Яловичий Язик	13,4	12,1	0	160
Конина	20,3	7,1	0	149
Кролик	20,6	12,8	0	197
Свинні ребра барбекю	21	31	0	269
Свинний биток без кістки	23,3	12,2	0	203
Свинина жирна	11,6	49,1	0	484
Свинячі нирки	13,2	3,2	0	84
Свиняча печінка	18,6	3,5	0	105
Свиняче серце	15,2	3,1	0	87
Свинячий язик	14,4	16,5	0	203
Телятина	19,9	1,1	0	91
Гусяче м’ясо	16,4	33,1	0	359

Індиче філе	25	1,1	0	110
Індичка	21,1	12,3	0,6	192
Кури	20,4	8,6	0,8	161
Курчата	18,5	7,9	0,5	159
Качки	16,4	61,3	0	348
Риба і морепродукти
Продукт	Білки	Жири	Вуглеводи	ккал
Бички	12,7	8,2	5,1	147
Горбуша	21,2	7,1	0	151
Кальмар	18,2	0,2	0	77
Камбала	16	2,5	0	86
Карась	17,5	1,6	0	84
Короп	16	3,5	0	95
Кета	22,1	5,8	0	138
Килька	14,3	9,2	0	142
Корюшка	15,3	3,3	0	93
Крабове м’ясо	16	0,9	0	67
Крабові палички	17,9	2,1	0	73
Краснопірка	18,5	3,1	0	106
Креветка	18	0,9	0	85
Крижана	15,6	1,3	0	76
Лящ	17,2	4,2	0	109
Лосось	19,2	13,8	0	200
Макрель	20,2	3,6	0	111
Мідії варені	9,7	1,6	0	53
Минтай	15,7	0,6	0	67
Мойва	13,1	11,7	0	159
Навага	16,71	1,3	0	78
Минь	18,6	0,8	0	85
Окунь морський	17,4	5,5	0	123
Окунь річковий	18,3	0,7	0	80
Осетер	16,5	10,5	0	161
Восьминіг	18,5	0	0	74
Палтус	18,5	3,2	0	106
Плотва	18,5	0,4	0	108
Раки варені	20,3	1,2	1,1	96
Сазан	18,1	5,2	0	119
Сайра	18,3	20,5	0	257
Салака	17,1	5,8	0	124
Оселедець	17,3	19,9	0	248
Сьомга	20,9	15,3	0	222
Риба Дорадо	18	3	0	99
Сиг	19	7,3	0	141
Скумбрія	18	9,5	0	158
Сом	16,7	8,4	0	141
Ставрида	18	5,3	0	119
Стерлядь	17,3	6,3	0	126
Судак	19	0,7	0	81
Тріска	17,7	0,5	0	76
Тунець Frans Josef консерва без олії	24	0,7	0	111

Тунець в пакеті з олією	24,4	12,5	0	210,4
Вугільна риба	13,3	11,4	0	153
Вугор морський	14,2	30,7	0	331
Устриці	14,4	0,3	6,2	91
Форель	19,6	2,1	0	99
Хек	16,4	2,3	0	84
Щука	18,2	0,8	0	83
Шпроти	16	32	0	352
Сардина (консерва)	20,4	21,4	0	275
Овочі
Продукт	Білки	Жири	Вуглеводи	ккал
Баклажани	0,6	0,1	7,5	22
Боби	6,1	0,1	8,1	59
Бруква	1,2	0,1	8,4	38
Горошок зелений	5,4	0,2	13,6	75
Кабачки	0,8	0,3	5,9	30
Капуста білокачанна	1,9	0	5,7	31
Капуста червонокачанна	1,9	0	6,3	34
Капуста цвітна	2,7	0	5,2	30
Картопля варена	2	0,3	16,5	80
Картопля смажена	2,6	9,7	23,5	198
Картопля молода	2	0,1	12,5	17
Цибуля зелена (перо)	1,4	0	4,2	21
Цибуля порей	3,2	0	7,1	38
Цибуля ріпчаста	1,6	0	9,3	41
Моркву	1,3	0,1	6,3	29
Огірки грунтові	0,7	0	3,1	15
Огірки парникові	0,7	0	1,6	9
Оливки	0,6	10,2	6,7	111
Перець зелений солодкий	1,2	0	4,8	24
Перець червоний солодкий	1,2	0	5,5	26
Петрушка (зелень)	3,8	0	8	45
Петрушка (корінь)	1,6	0	11,2	48
Редис	1,5	0	4,2	22
Редька	1,7	0	7,1	33
Ріпа	1,6	0	5,8	27
Салат	1,6	0	2,1	15
Буряк	1,7	0	10,5	46
зелень буряка	2,2	0,1	4,3	22
Томати (ґрунтові)	0,7	0	4,1	19
Томати (парникові)	0,7	0	2,6	12
Квасоля	4,4	0	4,4	36
Хрін	2,6	0	16,1	70
Часник	6,6	0	21,1	103
Шпинат	2,5	0	2,6	22
Щавель	1,6	0	5,5	29
Фрукти і ягоди
Продукт	Білки	Жири	Вуглеводи	ккал
Абрикоси	0,7	0	10,1	44
Айва	0,6	0	8,7	37
Алича	0,3	0	7,6	35
Ананас	0,3	0	11,9	49
Апельсин	0,8	0	8,6	38
Банани	1,7	0	22,1	87
Брусниця	0,6	0	8,8	42
Виноград	0,5	0	17,8	73
Вишня	0,9	0	11,1	46
Гранат	0,9	0	11,9	53
Грейпфрут	0,8	0	7,5	37
Груша	0,5	0	10,6	41
Лохина	1,1	0	7,4	35
Диня	0,8	0,3	7,3	34
Ожина	1,9	0	5,1	31
Суниця	1,9	0	7,1	40
Інжир	0,9	0	13,7	57
Ківі	1	0,7	9,7	46
Кизил	1,1	0	9,4	42
Полуниця	0,6	0,4	7	30
Журавлина	0,7	0	4,9	27
Агрус	0,8	0	9,7	43
Лимон	0,9	0	3,3	30
Малина	0,7	0	9,2	43
Мандарин	0,9	0	8,8	39
Манго	0,6	0,4	11,8	69
Морошка	0,9	0	6,9	33
Обліпиха	0,8	0	5,6	31
Персики	0,9	0	10,1	44
Памело	0,6	0,1	6,1	29
Горобина	1,6	0	12,2	57
Кавун	0,7	0,2	7,6	30
Смородина біла	0,4	0	8,5	37
Смородина червона	0,6	0	8,7	39
чорна Смородина	1	0	8	38
Хурма	0,7	0	15,7	61
Черешня	1,3	0	12,5	54
Чорниця	1,2	0	8,8	41
Шовковиця	0,6	0	12,5	50
Шипшина свіжий	1,5	0	24,2	106
Шипшина сушена	4,5	0	60,1	259
Персики	0,9	0,2	9,5	39
Яблука	0,5	0	11,4	48
Горіхи і сухофрукти
Продукт	Білки	Жири	Вуглеводи	ккал
Арахіс	26,2	45,3	9,9	555
Волоський горіх	13,5	61,5	10,6	662
Родзинки з кісточкою	1,7	0	70,7	273
Родзинки, кишмиш	2,5	0	71,4	285
Кешью	25,8	54,3	13,3	647
Курага	5,7	0	65,3	270
Мигдаль	18,3	57,9	13,4	643
Насіння соняшнику	20,9	52,5	5,4	582
Насіння гарбуза	30	49	11	559
Фініки	2,5	0,4	69,6	277
Фісташки	20	50,5	7,3	555
Фундук	16,3	66,7	9,8	701
Чорнослив	2,7	0	65,3	262
Манго сушені	2,5	1,2	78,6	319
Солодощі
Продукт	Білки	Жири	Вуглеводи	ккал
Трубочки Roshen "Konafetto"	4,5	26,9	61,7	515
Варення з малини	0,5	0,3	38,6	162
Вафлі	8,2	19,8	53,1	425
Гематоген	6,2	2,8	75,5	352
Драже фруктове	3,7	10,3	73,4	388
Зефір	0,7	0	77,3	295
Ірис	3,1	7,7	81,2	384
Карамель	0	0,2	77,3	291
Цукерки шоколадні	3,9	39,7	54,6	576
Мармелад	0	0,2	77,1	289
Мед	0,6	0	80,5	312
Морозиво пломбір	3,6	15,1	20,5	223
Морозиво вершкове	3,6	10	19,5	182
Морозиво ескімо	3,6	20	19,5	278
Торт "Київський"	5,4	27,8	50,6	474
Пастила	0,6	0	80,1	301
Печиво вівсяне	6,5	14,1	71,4	430
Печиво здобне	10,5	5,2	76	447
листкове Тістечко	5,7	38,3	46,8	543
Тістечко бісквітне	4,9	9,1	84,1	338
Пряники	4,4	2,9	77,1	333
Цукор	0,2	0	99,6	377
Халва соняшникова	11,4	29,3	54,6	519
Шоколад темний	5,2	35,6	52,4	546
Шоколад молочний	6,7	35,6	52,4	552
Варення з манго	0,5	0	70	282
казінакі з конжуту	11	29	53	527
пампушки	7	10	35	250
Морозиво "Львівске"	2,6	20	23	285
Хліб і хлібобулочні вироби
Продукт	Білки	Жири	Вуглеводи	ккал
Бублики	16,4	1,1	69,7	342
Батон нарізний	9,4	2,7	50,7	261
Бублики	16,4	1,1	69,7	342
Булочка	7,4	1,8	43,7	218
Булочки молочні	11,6	10,5	59,3	378
Хліб "Корисний зерновий" (Родинна Пекарня)	5,9	1,6	38,3	192
Лаваш вірменський	8,5	0,9	56,9	276
Борошно пшеничне вищого сорту	10,3	1,1	70	334
Борошно пшеничне I сорту	10,6	1,4	73,6	329
Борошно пшеничне II сорту	11,6	1,9	70,7	328
Борошно житнє	6,8	1,2	76,8	321
Сушіння	11,1	1	73,2	335
Сухарі пшеничні	11,6	1,8	72,1	327
Хліб житній	4,7	0,6	49,5	210
Рисові хлібці "Rice cakes" (1 cake)	8,8	3,5	80	392
Чіабата "Родинна ковбаска"	5,9	5,3	37,9	225
Хліб "Шведський"	7,7	4,3	49,4	268
Хліб пшеничний з борошна I сорту	7,4	2,2	53	246
Мої часто вживані
Продукт	Білки	Жири	Вуглеводи	ккал
Макарони Barilla	13	2	71	359
Сир Горгонзола	19	31	0,5	354
Торт "Наполеон"	6,4	22	38,7	372
Томатна паста польська	1,6	0,5	4,6	31
Ролет з кабачка з болон'єзе	10,44	22,57	13,09	296,44
Сир Камембер гриль	17	32	1,8	363
Какао "Granko Exclusiove" сухого	6,8	4,4	71,7	378
Ролет з кабачка з лосося	18,64	19,65	11,42	296,48
Лосось морожені животики	19	2	0	87
Гречаний багет	9,4	2,3	59,5	300
Чіпси	6,3	34	52	546
Сардельки "М'ясні"	14,3	20,8	0,7	247,4
Борщ	3,8	2,9	4,3	57,7
Сосиски "Родинна ковбаска"	12,3	19,1	2,9	223
Капуста пекінська	1,3	0,2	2,7	23
Мамин  "Спартак"	4,0	20,0	40,0	350,0
Мамині рогалики	6,0	19,8	45,1	383,3
Йогурт Білий грецький	4	8	4,7	107
Суп з індичими фрикадельками	5,9	0,3	8,7	66
Ковбаски "Родинна ковбаска для грилю"	18,2	24,5	0,3	294,5
Сир "Молокія" 5%	16	5	1,8	116
Йогурт "Селянській"	3,5	100	4,9	123,6
Суп овечевий	2	1,5	7	50
куряче філе	22,3	2,9	0	115
Пельмені з індика	12,5	8,5	24	245
сир твердий "Old Tawer"	25,2	30,4	0,1	374
Сир "Косичка"	20	45	0	255
Ковбаса "Філейна" Забіяка	14	20	0	236
Йогурт "Mlekovita"	2,8	2,5	12	82
Кабаносики	12	40	1,2	412
MST протеїн	70,4	3	12,7	374
В'ялені томати	5,1	14	23,5	252
Овочі морожені "Бейбіки"	1,7	0,2	4,3	33
куряче філе "Апетитне"	16	10	2,5	154
Соус з лососевих морожених животиків	16,13	15,66	4,12	215,58
сир "Сайберт золота коса"	21	22	0	282
Фасоля з овочами "Верес"	5,6	5	16	131
Мамині пельмені	12,1	11,1	24,6	289
Шпарагівка	2,1	0,1	7,1	31
Піцца із салямі	9,5	6,5	27,7	224
Сметана 18% (польська)	2,6	18	3,1	185
Бандерики з яловичиною та свининою	12,5	15,3	18,7	250
куряче філе "М'ясний хутір"	19,4	1,3	1,6	95,7
Ролет з кабачка та індичого філе	10,6	5,4	13,8	148,1
тісто на ролет з кабачка	4,20	4,70	11,10	104,00
Болон'єзе з індичого філе (готове)	10,3	0,4	9,3	85
Болон'єзе з індичого філе (сире)	8	0,3	7,2	65,8
суші гарячі	16	12	24	268
Сирники мамині	14,25	7,84	5,41	150,21
Вареники з картоплею	5	2	30	150
Фаршмак	23	24	2	315
салат "Цезар"	10	9	13	179
Печиво "Горіх - Згущик"	6,6	21,4	53,6	454
Крем-сир "Вершковий"	8,5	24,1	5,2	272
Пельмені з індичим м'ясом	15,7	3,7	24,4	187
Хот-дог Французький	10	15	25	296
McDonald's на 100г
Продукт	Білки	Жири	Вуглеводи	ккал
Біг Мак®	12.3	11.8	19.8	248
Дабл Чізбургер	19.0	16.7	19.0	291
Гамбургер	13.5	9.1	30.2	259
Чізбургер	13.9	11.1	27.8	276
МакЧікен®	12.4	10.0	27.4	249
Дабл Роял Чізбургер	22.4	17.6	17.1	306
Біг Тейсті®	17.3	13.5	13.2	248
Чікен МакНагетс®	13.0	14.0	20.0	265
Картопля Фрі	3.4	15.0	38.0	304
Картопляні діпи	2.4	4.2	29.7	172
Вишневий пиріг	3.0	18.5	38.3	336
Сирний соус	0.8	46.0	9.0	456
Кисло-солодкий	0.4	0.2	41.0	172
Барбекю	0.4	0.1	37.0	156
Кетчуп	1.1	0.1	24.0	105
Гірчичний	2.5	14.0	23.0	232
МакФлурі (Орео)	3.5	5.6	28.0	176
Морозиво Ріжок	3.5	3.1	26.5	148
Маффін шоколадний	5.0	22.0	50.0	420
Шейк полуничний	2.2	1.9	17.0	94
МакСанді (шоколад)	3.4	4.8	29.0	174
Coca-Cola	0.0	0.0	10.6	42
Апельсиновий сік	0.7	0.2	10.0	45
Латте (середній)	2.2	2.0	2.6	37
Капучино	2.5	2.3	2.7	41
